BankName,BankId,Currency,BuyRate,SellRate,BbBuyRate,BbSellRate
SBACBL,30,USD,84.5,85.75,83.8,83.83
NRB Bank Ltd.,24,USD,84.25,85.5,83.8,83.83
The Farmers Bank Limited,34,USD,,,83.8,83.83
Meghna Bank Ltd.,9,USD,83.5,86,83.8,83.83
Agrani Bank Limited,58,USD,85.15,86.15,83.8,83.83
Pubali Bank Limited,29,USD,85,86.1,83.8,83.83
Rupali Bank Limited,59,USD,85.15,86.15,83.8,83.83
Sonali Bank Limited,56,USD,85.2,86.2,83.8,83.83
Uttara Bank Limited,38,USD,85,86.5,83.8,83.83
Bangladesh Krishi Bank,63,USD,85.2,86.2,83.8,83.83
BDBL,61,USD,85.2,86.2,83.8,83.83
AB Bank Ltd.,13,USD,84.8,86.3,83.8,83.83
The City Bank Ltd.,33,USD,84.5,85.8,83.8,83.83
IFIC Bank Ltd.,16,USD,85,86,83.8,83.83
Islami Bank Bangladesh Ltd.,39,USD,84.5,85.8,83.8,83.83
National Bank Ltd.,22,USD,84.5,86,83.8,83.83
United Commercial Bank Ltd.,37,USD,84.5,86,83.8,83.83
Al-Arafa Islami Bank Ltd.,40,USD,84.5,86.5,83.8,83.83
ICB Islamic Bank Ltd.,46,USD,84.75,86.2,83.8,83.83
BASIC Bank Ltd.,60,USD,85,86.5,83.8,83.83
South East Bank Ltd.,31,USD,84,85.5,83.8,83.83
Dhaka Bank Ltd.,14,USD,83.25,84.75,83.8,83.83
Eastern Bank Ltd.,11,USD,83.25,84.5,83.8,83.83
Prime Bank Ltd.,28,USD,84,85.5,83.8,83.83
NCCBL,23,USD,84.5,86,83.8,83.83
Dutch-Bangla Bank Ltd.,15,USD,84.75,86,83.8,83.83
Mercantile Bank Ltd.,18,USD,83.5,85.5,83.8,83.83
Standard Bank Ltd.,32,USD,83.75,85,83.8,83.83
One Bank Ltd.,27,USD,84,85,83.8,83.83
EXIM Bank Ltd.,41,USD,84.95,85.75,83.8,83.83
Bangladesh Commerce Bank Ltd.,12,USD,83.5,85,83.8,83.83
Bank Asia Ltd.,10,USD,83.75,85.75,83.8,83.83
The Premier Bank Ltd.,35,USD,83,84.5,83.8,83.83
Mutual Trust Bank Ltd.,21,USD,83.75,85.75,83.8,83.83
FSIBL,44,USD,84.4,85.9,83.8,83.83
Trust Bank Ltd.,36,USD,85.25,86.25,83.8,83.83
Standard Chartered Bank,53,USD,82.85,85.35,83.8,83.83
Habib Bank Ltd.,50,USD,84.5,85.5,83.8,83.83
Commercial Bank of Ceylon,49,USD,83.75,85.75,83.8,83.83
State Bank of India,54,USD,84.5,85.5,83.8,83.83
Woori Bank,55,USD,-,-,83.8,83.83
Bank Alfalah Limited,47,USD,85.6,87.1,83.8,83.83
Citi Bank N.A.,64,USD,83.75,85.75,83.8,83.83
HSBC,51,USD,83.85,85.6,83.8,83.83
